,geometric,top_1,top_2,top_3
housing_shap_ranking,2.0985948307060798,1.107579156114348,1.5492831829344678,1.584962500721156
housing_exact_ranking_std_0.01,2.218779764277758,0.8039854421043169,1.4140885920332378,1.861021562076648
housing_exact_ranking_std_0.03,2.4811510636611014,1.5139691767815728,1.8896742828515363,2.1834906479328025
housing_exact_ranking_std_0.1,2.354017198744799,1.0425915482520076,1.8859560390041445,2.2229455178270987
housing_exact_ranking_std_0.3,2.205948282516557,0.7663906628943058,1.6875521089621563,2.0927528765101706
housing_exact_ranking_std_1.0,2.133665711099209,0.028682734942578683,1.6327245470555098,2.058671943688976
housing_approx_ranking_100_iter_0.01_stddev,2.067702357374494,0.35423504146455,1.3482917934191407,1.8053005633347812
housing_approx_ranking_100_iter_0.03_stddev,2.207745635681299,0.6813928025400132,1.712626516259464,2.0317666912767636
housing_approx_ranking_100_iter_0.1_stddev,2.4974478829410662,1.137253980025709,2.366454146460182,2.5476578701933965
housing_approx_ranking_100_iter_0.3_stddev,2.509354472635373,0.8569262793764529,2.4357749946061182,2.7742498205243487
housing_approx_ranking_100_iter_1.0_stddev,2.398231707833992,0.1080654721874797,2.3817739973986622,2.7684283636994196
