,geometric,top_1,top_2,top_3
wine_shap_ranking,2.053548523283708,0.9615832157114916,1.0580575376523849,1.584962500721156
wine_exact_ranking_std_0.01,2.268802891783786,1.0604395393786858,1.445633416650801,1.8165797684476228
wine_exact_ranking_std_0.03,2.3778996647266957,1.705720977005284,1.7151994352956859,1.9374864097826152
wine_exact_ranking_std_0.1,2.3489588630398726,1.482450688561892,1.8827145678287636,1.9919819330327764
wine_exact_ranking_std_0.3,2.309484598923488,1.3719704987288157,1.6537141606075694,1.9741962304579879
wine_exact_ranking_std_1.0,2.316751523231612,1.3049201523582004,1.5845727865352066,2.011573411545336
wine_approx_ranking_100_iter_0.01_stddev,2.1799794670131702,0.5138258689317942,1.3592358683262855,1.933914909784277
wine_approx_ranking_100_iter_0.03_stddev,2.468662944703445,1.0646512963107968,1.8192612172016966,2.354479161830361
wine_approx_ranking_100_iter_0.1_stddev,2.885647413576317,1.7155851745348196,2.5760879424658727,3.015504585783806
wine_approx_ranking_100_iter_0.3_stddev,2.935420342409091,1.6102774901454187,2.716603492497334,3.158632367346657
wine_approx_ranking_100_iter_1.0_stddev,2.7125256640099367,1.271150006191212,2.2631419382361857,2.948979231504154
